word,meaning,mnemonics
Acerbity,"bitterness of speech and temper; ADJ. acerbic: bitter; acrid (in taste, manner, or tone)","acer( SIR)+bity(BITE)...well your boss(SIR) is using BITTE WORDS FOR YOU,what are you thinking??(man to
karta hai KACCHA BITE (kha) jauo)
"
Acetic,vinegary,"acetic is derived from acetic acid..which is a week acid,which we generally use to make bakery products.
"
Acidulous,slightly sour (in taste or manner); sharp; caustic,"ACID..(USUALLY SOUR AND BITTER IN TASTE)...so anything which include acid will automatically give you
sour and bitter taste
"
Acknowledge,recognize; admit,"ac(ACCORDING)+ knowledge...according to my knowledge recognized schools generally admit very
intelligent students.
"
Acme,peak; pinnacle; highest point,"Sounds like LAKME (face cream) whose products promise your beauty to reach its peak.
"
Acne,skin disease (on the face),"it sounds like LAKNE the duplicate product of LAKME... so dnt use dis otherwise dis will cause SKIN DISEASE...
"
Acoustics,science of sound; quality that makes a room easy or hard to hear in,"a+co(couple)+stics(sticks)-a couple of sticks when striked produce a sound... producing sound relates to
science of sound...
"
Acquiesce,assent; agree passively; comply without protest,"ac+QUIE+s..concentrate on the part quie. and remember quiet..and yes which means submissive.. or
imagine some"
Acquittal,deliverance from a charge; V. acquit: free from a charge or accusation; discharge from a duty; conduct (oneself) in,"Sounds like accusation quit i.e., to leave something or someone ... or deliverance from a charge..
"
Acrid,bitter (to the taste or smell); sharp; bitterly pungent,"remove ""r"" from acrid, so now it becomes acid n acid is always bitter in taste and when smelt its pungent too
"
Acrimonious,stinging; caustic; bitter in words or manner; N. acrimony: bitter ill-natured animosity in speech or behavior,"a+cri+moan+us...take cri as cry.....stinging bitter words hurt and moan us and make us cry
"
Acrophobia,fear of heights,"a-crow, crow fly at a HEIGHT, phobia-fear hence fear of heights
"
Actuarial,calculating; pertaining to insurance statistics,"actuarial sounds like factorial which implies doing calculation.
"
Actuary,someone who advises insurance companies,"actuary is who acts with insurance company
"
Actuate,motivate; activate; cause to act,The senior actor performed and motivated his junior actor. act - to –
Acuity,sharpness (of mind or senses of sight or hearing),"acuity ~ a +cute; just imagine a cute girl you met in train who only have external beauty but doesn't have
sharpness of mind.
"
Acumen,mental keenness; sharpness of judgment; ability to judge quickly and well;,"acumen sounds like IQ-men.. men with high IQ have ability to judge quickly (has keen insight).
"
Acute,(of the senses) sharp; quickly perceptive; keen; penetrating; brief and severe;,acute angle is angle less than 
Adage,wise saying; proverb,"Adage ~ advice at age = when a person is adding in age (increase in age, old people) .. old people generally
speaks wisely and use lots of adage in their conversation.
"
Adamant,hard; inflexible,"A+DAM+ant...A DAM IS GENERALLY INFLEXIBLE AND HARD so vehicles can pass through it.
"
Adapt,make or become suitable for a specific use; alter; modify; adjust; N. adaptation: act of adapting; composition,"add+opt = opt for adding something new in u to suit in new environment
"
Addendum,addition; appendix to book; something that is added (as at the end of a speech or book),"add+end+um...anything added in the end of the book.
"
Addiction,compulsive habitual need,"add+action = if u add an action in your regular routine, once u will get addicted to it and that is addiction
"
Addle,make or become confused; muddle; drive crazy; become rotten (egg),"Sound like ""a+ dull”"
Address,direct a speech to; speak to; deal with or discuss; direct one's efforts or attention to; make with a destination; N:,"__
"
Adept,expert at; very skilled,"adept is close to adapt. So, an adept batsman like sachin adapt himself quickly on any kind of pitch.
"
Adhere,stick fast; be a devotd follower; N. adhesion: adhering; devotion; loyality,"Adhere is relating to a adhessive which is used to stick or join two materials.......so the meaning
"
Adherent,supporter; follower,"add + her + in to the group .... because she is a supporter and follower of our group (disciple)
"
Adjacent,adjoining; neighboring; close by,"adjust+end.. adjust him at the end of our queue.. he is our neighbor
"
Adjoin,be next to,"ad + join ~ adjacent and joining;
"
Adjourn,suspend until a later time; move from one place to another,"add+journey to move from one place to another place
"
Adjunct,something attached to but holding an inferior position,"we add junk food in our diet which is very poor or inferior in quality in terms of nutrition.
"
Adjuration,solemn urging; V. adjure: entreat earnestly; enjoin solemnly,"adjuration : ad + jur(JURY)+ ation : so a request or appeal to jury about
something.
"
Adjutant,staff officer assisting the commander; assistant,"Sounds like sergeant, lieutenant in army, thus they are: an army officer
who does office work and helps other officers
"
Admonish,warn or speak to with gentle disapproval; reprove,"to avoid A DEMON-ish act, a mother Warns her naughty child ["
Adore,love deeply and respect highly,"a + dore: if you adore your wife and she adores you, it means there is ""a dore (a thread)"" between you two
that increases the love.
"
Adorn,decorate,"adorn=ad(d)+ orn(ament). Addition of ornaments to a woman can adorn her body.
"
Adroit,skillful (in using mind or hand),"adroit ~ a + draw it : sounds like draw. for drawing something you must be skillful.
"
Conducive,providing the right conditions for something good to happen or exist,"_
"
Celibacy,"Abstinence from sexual intercourse, especially by reason of religious vows or The condition of being unmarried.","NA
"
Coagulate,"if a liquid coagulates, or something coagulates it, it becomes thick and almost solid","__
"
Espionage,spying; the activity of secretly finding out secret information and giving it to a country's enemies or a company's competitors,"__
"
Steadfast,Commited: Unwavering: Disciplined,"___
"
Squander,"Waste (something, especially money or time) in a reckless and foolish manner.","___
"
Licentious,"(in hindi) Tharki, (in english) Lecher","Someone got the license of being tharki
"
Debauch,(in hindi) Apne lifestyle ko bhot dikhane waala,"___
"
Hedonism,Pleasurable Lifestyle,"___
"
Asceticism,"Characterized by severe self-discipline and abstention from all forms of indulgence, typically for religious reasons.","Rishi muni follow the Asceticism
"
Lousy,Very poor or bad,"Something is loose(sound in lousy) is very bad.
"
Infuriate,Make (someone) extremely angry and impatient,"____
"
Conceal,Hidden; Kept secret,"____
"
Solicit,Ask for or try to obtain (something) from someone.,"___
"
Seize,to capture; to take control,"_____
"
Amnesty,Mercy; Official pardon to a convict,"____
"
Baffled,Confused or Puzzled,"____
"
Flout,Refusing to follow a law; disregard to law,"____
"
Flaunt,Show-off,"____
"
Tenacious,Tending to keep a firm hold of something,"____
"
Sedentary,Inactive; Spending all the time at one place,"____
"
Putrid,Rot,"____
"
Procrastinate,Delay or postpone action; put off doing something.,"____
"
Scapegoat,(in hindi) Bali ka bakara banana,"___
"
Meek,humble,"_____
"
Cessation,The fact or process of ending or being brought to an end.,"_____
"
Toil,Work extremely hard; incessantly,"____
"
Industrious,Hard working; assiduous,"____
"
Imitate,Mimic; copy,"____
"
Knack,"Natural skill, talent, ability","____
"
Enigma,A person or thing that is mysterious or difficult to understand; Mystery,"____
"
Tardy,Late,"____
"
Gregarious,Sociable,"____
"
Foment,Provoke; Instigate; Incite,"____
"
Spurious,False or Fake,"___
"
Zenith,Acme; Pinnacle; Peak; Apex,"____
"
Nadir,the time when a situation is at its worth,"_____
"
Cordial,Friendly; Affable,"___
"
Concord,Accord; Agreement; Harmony,"____
"
Pensive,Engaged in deep and serious thought; chew the cud,"____
"
Discord,Disagreement; Conflict; Strife,"____
"
Commotion,Confused and noisy disturbance,"____
"
Anomaly,Oddity; something that is noticeable because it is different from what is usual,"____
"
Equivocal,Ambiguous; information that is equivaocal is difficult to understand or explain because it contains different parts which suggest that different things are true,"____
"
Lucid,Easy to understand; clear,____
Plight,condition,___
